Date,Open,High,Low,Close,Adj Close,Volume
1999-08-24,29.340836,29.340836,29.059486,29.180063,19.366489,101386
1999-08-25,29.220257,29.220257,28.536978,28.536978,18.939672,57970
1999-08-26,28.898714,28.938908,28.536978,28.938908,19.206438,183614
1999-08-27,28.938908,29.220257,28.818329,29.139872,19.339817,349191
1999-08-30,28.938908,29.340836,28.938908,29.340836,19.473190,56104
1999-08-31,29.501608,29.742765,29.180063,29.742765,19.739944,72525
1999-09-01,29.340836,29.943729,29.340836,29.702572,19.713270,67549
1999-09-02,29.541801,30.104502,29.340836,30.104502,19.980030,45282
1999-09-03,29.863344,30.144695,29.863344,29.983923,19.900003,36822
1999-09-06,null,null,null,null,null,null
1999-09-07,29.983923,30.144695,29.742765,29.983923,19.900003,47894
1999-09-08,29.742765,30.064308,29.742765,30.064308,19.953356,105740
1999-09-09,30.024117,30.546623,30.024117,30.345659,20.140083,110218
1999-09-10,30.385853,30.466238,29.782957,30.024117,19.926672,77252
1999-09-13,30.024117,30.024117,29.541801,29.823151,19.825148,210858
1999-09-14,29.943729,29.943729,28.737942,29.340836,19.504524,258876
1999-09-15,28.938908,29.461414,28.938908,29.260450,19.451084,60210
1999-09-16,29.340836,29.340836,28.778135,28.938908,19.237341,87329
1999-09-17,28.737942,29.139872,28.416399,28.416399,18.889996,348818
1999-09-20,28.416399,28.938908,28.215433,28.657557,19.050301,99022
1999-09-21,28.657557,28.657557,27.853699,27.893890,18.542654,235738
1999-09-22,27.934084,28.215433,27.934084,28.094854,18.676250,179882
1999-09-23,28.135048,28.135048,27.451769,27.532154,18.302185,278158
1999-09-24,27.532154,27.733118,27.049839,27.170418,18.061724,229767
1999-09-27,27.532154,27.733118,27.130224,27.532154,18.302185,91932
1999-09-28,27.532154,28.336014,27.491961,28.336014,18.836567,169308
1999-09-29,28.416399,28.938908,28.175241,28.938908,19.237341,149156
1999-09-30,28.898714,29.622187,28.898714,29.461414,19.584677,539896
1999-10-01,29.461414,29.461414,28.858521,28.938908,19.237341,404922
1999-10-04,29.180063,29.180063,28.938908,29.139872,19.370935,259498
1999-10-05,29.139872,29.340836,29.139872,29.180063,19.397648,115568
1999-10-06,29.180063,29.300644,28.938908,29.180063,19.397648,72898
1999-10-07,29.180063,29.340836,28.938908,29.340836,19.504524,223547
1999-10-08,29.019293,29.581993,29.019293,29.340836,19.504524,91061
1999-10-11,null,null,null,null,null,null
1999-10-12,29.139872,29.340836,29.059486,29.059486,19.317490,62573
1999-10-13,29.059486,29.260450,28.416399,28.416399,18.889996,61329
1999-10-14,28.215433,28.938908,28.135048,28.336014,18.836567,70410
1999-10-15,28.295820,28.456593,28.135048,28.416399,18.889996,86831
1999-10-18,28.215433,28.416399,28.135048,28.215433,18.756405,80736
1999-10-19,28.255627,28.617363,28.255627,28.496784,18.943439,34708
1999-10-20,28.496784,28.858521,28.456593,28.737942,19.103745,70535
1999-10-21,28.617363,28.778135,28.456593,28.778135,19.130463,84094
1999-10-22,28.898714,28.938908,28.778135,28.818329,19.157192,275919
1999-10-25,28.818329,28.818329,28.094854,28.336014,18.836567,55482
1999-10-26,28.536978,28.617363,28.336014,28.336014,18.836567,39062
1999-10-27,28.376205,28.536978,28.336014,28.336014,18.836567,76755
1999-10-28,28.456593,28.456593,28.255627,28.255627,18.783119,78123
1999-10-29,28.135048,28.135048,27.572348,27.572348,18.328913,137586
1999-11-01,27.371384,27.733118,27.331190,27.652733,18.382341,281144
1999-11-02,27.532154,28.617363,27.532154,28.536978,18.970148,488021
1999-11-03,28.536978,28.536978,27.733118,27.773312,18.462500,135596
1999-11-04,27.773312,27.853699,27.451769,27.491961,18.275478,166198
1999-11-05,27.733118,27.893890,27.491961,27.893890,18.542654,517753
1999-11-08,28.336014,28.376205,27.934084,28.215433,18.756405,142936
